product_id,product_name,import_amount,export_amount,date
8703,cars,2302,66,2007-01-01
8703,cars,2311,97,2007-02-01
8703,cars,3167,142,2007-03-01
8703,cars,2959,113,2007-04-01
8703,cars,3258,154,2007-05-01
8703,cars,2735,188,2007-06-01
8703,cars,3462,206,2007-07-01
8703,cars,3313,352,2007-08-01
8703,cars,2666,292,2007-09-01
8703,cars,3064,263,2007-10-01
8703,cars,3171,240,2007-11-01
8703,cars,4231,126,2007-12-01
8703,cars,3557,12,2008-01-01
8703,cars,3375,3,2008-02-01
8703,cars,3996,14,2008-03-01
8703,cars,4363,33,2008-04-01
8703,cars,4066,4,2008-05-01
8703,cars,4122,13,2008-06-01
8703,cars,4230,28,2008-07-01
8703,cars,3544,25,2008-08-01
8703,cars,4484,18,2008-09-01
8703,cars,4507,88,2008-10-01
8703,cars,4710,61,2008-11-01
8703,cars,4221,17,2008-12-01
8703,cars,2587,23,2009-01-01
8703,cars,2353,22,2009-02-01
8703,cars,1710,20,2009-03-01
8703,cars,1360,45,2009-04-01
8703,cars,974,16,2009-05-01
8703,cars,1229,13,2009-06-01
8703,cars,1139,17,2009-07-01
8703,cars,1263,17,2009-08-01
8703,cars,1200,11,2009-09-01
8703,cars,1322,6,2009-10-01
8703,cars,1449,28,2009-11-01
8703,cars,1511,21,2009-12-01
8703,cars,1009,8,2010-01-01
8703,cars,1086,2,2010-02-01
8703,cars,1559,13,2010-03-01
8703,cars,1423,17,2010-04-01
8703,cars,1522,29,2010-05-01
8703,cars,1662,7,2010-06-01
8703,cars,1821,26,2010-07-01
8703,cars,1991,21,2010-08-01
8703,cars,2102,19,2010-09-01
8703,cars,1988,25,2010-10-01
8703,cars,2004,29,2010-11-01
8703,cars,2047,33,2010-12-01
8703,cars,1645,18,2011-01-01
8703,cars,1854,18,2011-02-01
8703,cars,4567,22,2011-03-01
8703,cars,1963,18,2011-04-01
8703,cars,2447,24,2011-05-01
8703,cars,2091,32,2011-06-01
8703,cars,1958,20,2011-07-01
8703,cars,2723,36,2011-08-01
8703,cars,3657,27,2011-09-01
8703,cars,2799,413,2011-10-01
8703,cars,2764,174,2011-11-01
8703,cars,2956,34,2011-12-01
8703,cars,1886,27,2012-01-01
8703,cars,1941,11,2012-02-01
8703,cars,2840,25,2012-03-01
8703,cars,2870,16,2012-04-01
8703,cars,2977,18,2012-05-01
8703,cars,2549,14,2012-06-01
8703,cars,2960,31,2012-07-01
8703,cars,3199,30,2012-08-01
8703,cars,3068,27,2012-09-01
8703,cars,3494,20,2012-10-01
8703,cars,3506,11,2012-11-01
8703,cars,3243,17,2012-12-01
8703,cars,2502,17,2013-01-01
8703,cars,2765,27,2013-02-01
8703,cars,3205,21,2013-03-01
8703,cars,3762,34,2013-04-01
8703,cars,3303,22,2013-05-01
8703,cars,3087,23,2013-06-01
8703,cars,3762,35,2013-07-01
8703,cars,3267,36,2013-08-01
8703,cars,3598,33,2013-09-01
8703,cars,4434,32,2013-10-01
8703,cars,4385,36,2013-11-01
8703,cars,4298,43,2013-12-01
8703,cars,3365,40,2014-01-01
8703,cars,3592,27,2014-02-01
8703,cars,5416,28,2014-03-01
8703,cars,4963,26,2014-04-01
8703,cars,4857,21,2014-05-01
8703,cars,4232,54,2014-06-01
8703,cars,4219,47,2014-07-01
8703,cars,3482,30,2014-08-01
8703,cars,3740,43,2014-09-01
8703,cars,4099,32,2014-10-01
8703,cars,3556,38,2014-11-01
8703,cars,3221,30,2014-12-01
8703,cars,1779,57,2015-01-01
8703,cars,1865,23,2015-02-01
8703,cars,1860,16,2015-03-01
8703,cars,1621,23,2015-04-01
8703,cars,1687,26,2015-05-01
8703,cars,2238,33,2015-06-01
8703,cars,2162,30,2015-07-01
8703,cars,2107,49,2015-08-01
8703,cars,2212,29,2015-09-01
8703,cars,2204,30,2015-10-01
8703,cars,2013,23,2015-11-01
8703,cars,1748,7,2015-12-01
8703,cars,977,9,2016-01-01
8703,cars,1253,14,2016-02-01
8703,cars,1215,27,2016-03-01
8703,cars,1136,17,2016-04-01
8703,cars,1248,28,2016-05-01
8703,cars,1352,38,2016-06-01
8703,cars,1491,62,2016-07-01
8703,cars,1791,163,2016-08-01
8703,cars,1881,49,2016-09-01
8703,cars,1912,171,2016-10-01
8703,cars,1909,138,2016-11-01
8703,cars,1457,85,2016-12-01
8703,cars,1307,27,2017-01-01
8703,cars,1640,54,2017-02-01
8703,cars,2248,71,2017-03-01
8703,cars,2109,27,2017-04-01
8703,cars,3166,15,2017-05-01
8703,cars,4485,69,2017-06-01
8703,cars,3240,59,2017-07-01
8703,cars,4533,13,2017-08-01
8703,cars,4550,157,2017-09-01
8703,cars,4827,23,2017-10-01
8703,cars,4480,144,2017-11-01
8703,cars,5074,59,2017-12-01
8703,cars,3550,61,2018-01-01
8703,cars,5089,64,2018-02-01
8703,cars,5631,69,2018-03-01
8703,cars,3771,69,2018-04-01
8703,cars,4581,181,2018-05-01
8703,cars,5844,114,2018-06-01
8703,cars,5738,155,2018-07-01
8703,cars,5735,181,2018-08-01
8703,cars,6278,20,2018-09-01
8703,cars,7031,59,2018-10-01
8703,cars,7551,48,2018-11-01
8703,cars,8290,121,2018-12-01
8703,cars,6830,212,2019-01-01
8703,cars,8249,18,2019-02-01
8703,cars,8460,38,2019-03-01
8703,cars,9910,40,2019-04-01
8703,cars,10302,111,2019-05-01
8703,cars,11694,39,2019-06-01
8703,cars,15992,240,2019-07-01
8703,cars,18591,189,2019-08-01
8703,cars,20992,165,2019-09-01
8703,cars,27067,205,2019-10-01
8703,cars,28070,178,2019-11-01
8703,cars,40991,170,2019-12-01
8703,cars,1223,91,2020-01-01
8703,cars,370,64,2020-02-01
8703,cars,748,5,2020-03-01
8703,cars,595,20,2020-04-01
8703,cars,482,14,2020-05-01
8703,cars,892,18,2020-06-01
8703,cars,728,26,2020-07-01
8703,cars,620,30,2020-08-01
8703,cars,512,26,2020-09-01
8703,cars,581,44,2020-10-01
8703,cars,629,60,2020-11-01
8703,cars,684,147,2020-12-01
8703,cars,257,10,2021-01-01
8703,cars,250,16,2021-02-01
8703,cars,464,31,2021-03-01
8703,cars,963,114,2021-04-01
8703,cars,1131,56,2021-05-01
8703,cars,1221,88,2021-06-01
8703,cars,1365,66,2021-07-01
8703,cars,990,39,2021-08-01
8703,cars,1427,94,2021-09-01
8703,cars,1608,123,2021-10-01
8703,cars,1805,78,2021-11-01
8703,cars,2128,82,2021-12-01
8703,cars,1477,83,2022-01-01
8703,cars,1835,153,2022-02-01
8703,cars,2332,108,2022-03-01
8703,cars,2580,296,2022-04-01
8703,cars,2919,252,2022-05-01
8703,cars,4363,465,2022-06-01
8703,cars,5358,1283,2022-07-01
8703,cars,7131,2697,2022-08-01
8703,cars,7118,3021,2022-09-01
8703,cars,8455,2728,2022-10-01
8703,cars,11520,3658,2022-11-01
8703,cars,14012,5266,2022-12-01
8703,cars,10119,3665,2023-01-01
8703,cars,11871,4114,2023-02-01
8703,cars,12446,4843,2023-03-01
8703,cars,12660,4120,2023-04-01
8703,cars,15408,5273,2023-05-01
8703,cars,14772,4538,2023-06-01
8703,cars,11859,6030,2023-07-01
8703,cars,10506,872,2023-08-01
8703,cars,9059,1718,2023-09-01
8703,cars,7723,1950,2023-10-01
8703,cars,6050,865,2023-11-01
8703,cars,8455,518,2023-12-01
